id,calendar_date,week_day,holiday
46724,1/1/2018,Monday,1
46725,1/2/2018,Tuesday,0
46726,1/3/2018,Wednesday,0
46727,1/4/2018,Thursday,0
46728,1/5/2018,Friday,0
46729,1/6/2018,Saturday,0
46730,1/7/2018,Sunday,0
46731,1/8/2018,Monday,0
46732,1/9/2018,Tuesday,0
46733,1/10/2018,Wednesday,0
46734,1/11/2018,Thursday,0
46735,1/12/2018,Friday,0
46736,1/13/2018,Saturday,0
46737,1/14/2018,Sunday,0
46738,1/15/2018,Monday,0
46739,1/16/2018,Tuesday,0
46740,1/17/2018,Wednesday,0
46741,1/18/2018,Thursday,0
46742,1/19/2018,Friday,0
46743,1/20/2018,Saturday,0
46744,1/21/2018,Sunday,0
46745,1/22/2018,Monday,0
46746,1/23/2018,Tuesday,0
46747,1/24/2018,Wednesday,0
46748,1/25/2018,Thursday,0
46749,1/26/2018,Friday,0
46750,1/27/2018,Saturday,0
46751,1/28/2018,Sunday,0
46752,1/29/2018,Monday,0
46753,1/30/2018,Tuesday,0
46754,1/31/2018,Wednesday,0
46755,2/1/2018,Thursday,0
46756,2/2/2018,Friday,0
46757,2/3/2018,Saturday,0
46758,2/4/2018,Sunday,0
46759,2/5/2018,Monday,0
46760,2/6/2018,Tuesday,0
46761,2/7/2018,Wednesday,0
46762,2/8/2018,Thursday,0
46763,2/9/2018,Friday,0
46764,2/10/2018,Saturday,0
46765,2/11/2018,Sunday,0
46766,2/12/2018,Monday,0
46767,2/13/2018,Tuesday,1
46768,2/14/2018,Wednesday,0
46769,2/15/2018,Thursday,0
46770,2/16/2018,Friday,0
46771,2/17/2018,Saturday,0
46772,2/18/2018,Sunday,0
46773,2/19/2018,Monday,0
46774,2/20/2018,Tuesday,0
46775,2/21/2018,Wednesday,0
46776,2/22/2018,Thursday,0
46777,2/23/2018,Friday,0
46778,2/24/2018,Saturday,0
46779,2/25/2018,Sunday,0
46780,2/26/2018,Monday,0
46781,2/27/2018,Tuesday,0
46782,2/28/2018,Wednesday,0
46783,3/1/2018,Thursday,0
46784,3/2/2018,Friday,0
46785,3/3/2018,Saturday,0
46786,3/4/2018,Sunday,0
46787,3/5/2018,Monday,0
46788,3/6/2018,Tuesday,0
46789,3/7/2018,Wednesday,0
46790,3/8/2018,Thursday,0
46791,3/9/2018,Friday,0
46792,3/10/2018,Saturday,0
46793,3/11/2018,Sunday,0
46794,3/12/2018,Monday,0
46795,3/13/2018,Tuesday,0
46796,3/14/2018,Wednesday,0
46797,3/15/2018,Thursday,0
46798,3/16/2018,Friday,0
46799,3/17/2018,Saturday,0
46800,3/18/2018,Sunday,0
46801,3/19/2018,Monday,0
46802,3/20/2018,Tuesday,0
46803,3/21/2018,Wednesday,0
46804,3/22/2018,Thursday,0
